subject,predicate,object
b-35KvoWbA3kEsdckaWqG3OA,HAS_REVIEW,r-o-9FN7qiR33-WcVByFesgA
b-gXLiBVCHIqoPEw2CaP3QmQ,HAS_CATEGORY,Vegetarian
u-HcjILZhw0g4lzO3IHhZuOw,WRITE_REVIEW,r-X9hI5aCuVxPsMCwbnn6X0w
Food,IS,Delicious
Shisha,IS,Free
b-hubbaEcYPYEZu5Ziz6i0lw,HAS_ASPECT,Decor
u-4zBHyaN_IQYJS23hgp55PA,RATE,b-vCx6uieEF0W0mKFK4sT3Yg
b-NHDdAZJqS3cf_K6HYxoQ9w,HAS_REVIEW,r-1WiLU9JXWsD6UWofZDyzLw
u-FJ2yu9Pf5LIYcncoRKyzFQ,WRITE_REVIEW,r-XTH7Qs2Dlm3PAq8E3Qdncw
u-gS4QCL6j_umAyfJXBGAZJQ,VISIT,b-vCx6uieEF0W0mKFK4sT3Yg
u-pDvDLpD7CiMlIebsDPCRSQ,ORDER,Garlic_Naan
u-7ly3al1MaAOoUXUo2w9gIw,VISIT,b-or1daHtUK9b7sqFRPf62GQ
Taste,IS,Bad
u-N_IFBJrVN5CVRNi4UmKf1g,ORDER,Mint_Chutney
Dinner,IS,Delicious
u-Xwnf20FKuikiHcSpcEbpKQ,WRITE_REVIEW,r-QHyBVcRcZZwFALQbbwOxow
u-PVOtG_2eJOnJLoLmT_rQig,WRITE_REVIEW,r-SlZQ_1aF8zuPcz0-cxfi_g
u-qYOiteHcT9TbuRyj66Dx_w,WRITE_REVIEW,r-tpUsFKZrIwZhQdihhLxncg
u-6ZCWi1OxWhooJkcrRnDs1w,WRITE_REVIEW,r-LnVO6ewXF72cq_VuaUiKpg
Service,IS,Amazing
Chutney,IS,Great
u-FuDerME3t0XjuaPTrNfW_g,VISIT,b-5eDg_Y2N6aU_k7tIxoFXTg
Naan,IS,Excellent
b-DxbdfvNYPCyiLJDDPJK3Tg,HAS_MENU,Chili_Chicken
b-ZJ0gQp0fcnIDiZv0m9--Gg,HAS_MENU,Paneer
u-JB4_tH5U_oN7Xl3MA4aeHw,VISIT,b-DeI4KqEeWy0cTdh7Wy5_RA
Staff,IS,Lazy
u-xwIeGfv2NAhq9Kofn5qQmg,VISIT,b-p-J9iJgeHmPGk2jFAM0WnA
b-Pzs43Fkub-6A9hA1zqpF_w,HAS_REVIEW,r-cdyuOMJ75Lhbf2VCITziEw
b-V_jIfMz9Z7a5mthleRq0_w,HAS_MENU,Chicken_Biryani
u-qgj11QoS-qvrVBcQL7p9JA,VISIT,b-BoiAZQB9AHRvazM055GFOw
b-Pzs43Fkub-6A9hA1zqpF_w,HAS_MENU,Tea
Reasonable,ASPECT_ATTR_FOR,b-Eu-M3y8a5bIxIRXlCj9yHA
u-GY76ebPi56ztlNcwYO70gg,WRITE_REVIEW,r-bvc2v9oIfyksdTIB2Kv8CA
b-P4h8kgy_48oE9vCHJc4BCQ,HAS_ASPECT,Food
b-eRZuxjnaMviiVyvhejwTBQ,HAS_MENU,Chicken_Seekh_Wrap
Sweet,MENU_ATTR_FOR,b-3wJ4kJsJhayyfJ30HsS04g
u-XqfFXg1Lz6C4x8CgNexWkA,WRITE_REVIEW,r-IGXOkkqHJuUw8Y9XNXskMQ
u-eUiAbOh5AbbRAlBHlCTAYw,WRITE_REVIEW,r-15-D0eIPdKc2BvnerZyJPQ
u-qHoOMAr0WVDvYqjbzpu8tQ,WRITE_REVIEW,r-nka90AUGVKkcifWT1qExEg
u-oenzGqlVMNpVq_Qrn6iAjA,VISIT,b-LwXo16VrGPhhOWc_Wj7ifw
u--9b4s874f_CnznTu4JorRg,VISIT,b-COfzp0tze_F8N13zn40zzg
u-Oxe8DXjBOi6C-cR2w64zOg,VISIT,b-qcqDjeirxvdgW5kQVkEwSA
b-0zTLMQOZhiCp9GFtegiFsw,HAS_REVIEW,r-FtxtatW7ApFBp1vXj8ihuQ
u-17T541hwWCZel-sslpBQiQ,RATE,b-7xA6iSP0Ndn08tpBFQtUKA
Friendly,ASPECT_ATTR_FOR,b-DxbdfvNYPCyiLJDDPJK3Tg
Delicious,MENU_ATTR_FOR,b-BoiAZQB9AHRvazM055GFOw
u-saXel2vsvMQsA4w7qqVkOw,VISIT,b-GC9Re0tKAnecMww3DB638g
Delicious,ASPECT_ATTR_FOR,b-ICUCAzUZFiWkYs7iCtNCQg
b-qMw7mFHAjgG7qN82aXmeZg,HAS_REVIEW,r-jSoSh6moKZVIkg3qqc-AHg
Delicious,MENU_ATTR_FOR,b-ICUCAzUZFiWkYs7iCtNCQg
u-LRvzPlhYLEvuNRkE187d8g,WRITE_REVIEW,r-y_pPvNEv4xI7VRyWa6_S0g
Food,IS,Exceptional
Service,IS,Fantastic
u-InDrrRvQ9f732YGPX4Ixmg,RATE,b-oVuZtlCFg_zF090Nhtp0Ow
u-B_-u1wqpcOWsjXbDFY9JBA,VISIT,b-hubbaEcYPYEZu5Ziz6i0lw
Taste,IS,Authentic
b-DxbdfvNYPCyiLJDDPJK3Tg,HAS_REVIEW,r-nWULDQaeQQYo6meLdQHjDg
u-ZoaGfcb5U1RCZhBXpHYJBg,WRITE_REVIEW,r-JfX7tTD6KwDf4ikC47IX_Q
b-oX6y1Jm1jYLoWifmIrtaSQ,HAS_CATEGORY,Indian
u-ugLzELm2bWV_7fvDKjBaZw,VISIT,b-De8Z9rLZOmf-icp3gDxCZA
b-hubbaEcYPYEZu5Ziz6i0lw,HAS_MENU,Aloo_Paratha
Food,IS,Good
Awesome,MENU_ATTR_FOR,b-CvOxwAhmwwy3sQRKYVAjGg
Reasonable,ASPECT_ATTR_FOR,b-P4h8kgy_48oE9vCHJc4BCQ
b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_REVIEW,r-6F3DxB76UV3TDLYqnh50qQ
b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_MENU,Curry
b-DKqhCd3Vwl3CEo8vUHhLYg,HAS_REVIEW,r-2XA05MJdMa4iyWWGKxBCxA
b-kfwpXBsMQLqhUvscWB6b9g,HAS_REVIEW,r-Ea4POfBICN3BLy7h7o1NEA
b-RE4qn28MEiDrM1PbdYVgxA,HAS_MENU,Roti
b-ICUCAzUZFiWkYs7iCtNCQg,HAS_REVIEW,r-ycEUOFt1B6lzGUiidDPwZg
Welcome,ASPECT_ATTR_FOR,b-f7RXwcus_-EOsR0q5ctVjw
b-8PZGCtgG5MZKvz9i3B9gCA,HAS_REVIEW,r-yjCYRf5cy_UAz1oFoiqz9w
u-RwzZXeDKRoYoHttT5ylCrw,RATE,b-j4ytRzcmtU4cLMBrhY7jMA
Flavourful,MENU_ATTR_FOR,b-DxbdfvNYPCyiLJDDPJK3Tg
b-gXLiBVCHIqoPEw2CaP3QmQ,HAS_REVIEW,r-asip9XrtmHDwb8tj63u4cw
b-COfzp0tze_F8N13zn40zzg,HAS_REVIEW,r-vuOX_TdHkzAWSotESTEyWw
u-842i3p5IxaakeoGPlBEchA,WRITE_REVIEW,r-7ayXRFxSWvPMgfwgRuQVMg
Service,IS,Slow
u-Kf10dTiGlcnyhj8DBoZn1A,HAS_FRIEND,u-Q9mA60HnY87C1TW5kjAZ6Q
b-5eDg_Y2N6aU_k7tIxoFXTg,HAS_MENU,Makhani_Daal
u-puKCWAzXbY4QfpMBOkVEKg,WRITE_REVIEW,r-JRPSX_EAU0gwHDgsC1sM0Q
b-Dd1w7xR7Xs3bthwusgy33Q,HAS_ASPECT,Price
b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_REVIEW,r-TL8DlZU_kOOXPu5Voaie_w
b-COfzp0tze_F8N13zn40zzg,HAS_ASPECT,Service
u-iWKXKikPiPGr5bzeFlxA5w,RATE,b-ZDx7kt4aOPTlmYTqXDrTGA
b-GC9Re0tKAnecMww3DB638g,HAS_MENU,Kulfi
u-MNrJg13AAX6qvaa6PxFdRQ,VISIT,b-j4ytRzcmtU4cLMBrhY7jMA
b-XvuUYiJYAAiNC4AmdbBZ8g,HAS_ASPECT,Food
Friendly,ASPECT_ATTR_FOR,b-V_jIfMz9Z7a5mthleRq0_w
Slow,ASPECT_ATTR_FOR,b-gA4bnK91phT5FTzG4ki3Dw
b-oX6y1Jm1jYLoWifmIrtaSQ,HAS_MENU,Chicken
u-gXgqmi8iE20hFnUEgSWyrA,VISIT,b-MgsOZpYSntKSCzNROiWgYQ
u-W7ZFD8xThjOX7_O0FDH5kA,WRITE_REVIEW,r-xxbbe8PzCmcYZZTyJFpRJg
Exceptional,ASPECT_ATTR_FOR,b-De8Z9rLZOmf-icp3gDxCZA
u-lxLvaKzRcN-7gtxyywgRbA,RATE,b-qMw7mFHAjgG7qN82aXmeZg
u-UtetNKGy_8L-RIMhYiCB7g,RATE,b-BxkVct02QHybp54ATZgkUQ
Chili_Chicken,IS,Hot
Tempe-United_States,LOCATED_IN,United_States
b-j4ytRzcmtU4cLMBrhY7jMA,HAS_MENU,Sambar
u-0GUlOnwNMENSpzeb_ZBGzA,WRITE_REVIEW,r-j9dRfETbUwmsxHD-K-Wnqg
u-krE33Y_64V9cp75q5ddhWQ,WRITE_REVIEW,r-ezFEshJxJPAUsP64uYvSiQ
b-hubbaEcYPYEZu5Ziz6i0lw,HAS_REVIEW,r-lkFU-IGHwvnfMfM75WNEzg
u-3bWTUkL1Wb5TEJJ9yDVqDQ,VISIT,b-gXLiBVCHIqoPEw2CaP3QmQ
u-X5whw8WcB8dVZGZ5vGnSLg,RATE,b-BxkVct02QHybp54ATZgkUQ
u-W6PIKkebV2FniV-5ju5EcQ,WRITE_REVIEW,r-SAEZv1bJ4gN-j5C4Iz_S3g
u-MoFYvOoufOMyVTmUFAhRxQ,VISIT,b-ZNdV9ytExuxPTXSN8i2xhw
u-L7I8V10Ea7Fs3cb_cQRzGw,WRITE_REVIEW,r-BH7Sf8XdwpFyD0tkfiHwtA
b-MgsOZpYSntKSCzNROiWgYQ,HAS_ASPECT,Food
b-0Hy2VE9tqTo4QbovMz3xrQ,HAS_ASPECT,Food
b-5eDg_Y2N6aU_k7tIxoFXTg,HAS_REVIEW,r-lJPAVzQVsM1Lnp0ZRWWQTA
u-GJd11uLB70bqPV9gA5orZA,ORDER,Mango_Lassi
u-f--ona4DuvVKoKoumX4Tyg,ORDER,Naan
Generous,MENU_ATTR_FOR,b-DxbdfvNYPCyiLJDDPJK3Tg
Pakora,IS,Delicious
u-YEh-PiExa0E3p71Nn56umQ,VISIT,b-Pzs43Fkub-6A9hA1zqpF_w
b-j9YFHVQqxM_qKHIc4nck-A,HAS_MENU,Soup
u-jMHlwDq5b2zqhV5TyyFKPA,WRITE_REVIEW,r-4SvS5gygIj85IdJ4bzk-Ww
b-c4qE3ygdEQUD9dZjganavA,HAS_REVIEW,r-yRmwZhXAYbaoxLjOeY4F1w
b-35KvoWbA3kEsdckaWqG3OA,HAS_MENU,Spinach_Dal
b-dg4EMyM1feTEWfLPSbunrg,HAS_ASPECT,Staff
u-Lfcfi07ymAdaHZlph_QRNg,RECOMMEND,b-BoiAZQB9AHRvazM055GFOw
b-XvuUYiJYAAiNC4AmdbBZ8g,HAS_MENU,Naan
Gulab_Jamun,IS,Great
u-wxPmBdEZ92moWWzUhjsjgw,RATE,b-sUGlSS0AF2xPYFEjvKJbSA
u-J1P3QAMh5y74kRCsaZmMgw,RATE,b-0cf-w9PK5gLkBkitL3bdqw
Service,IS,Awesome
Food,IS,Great
Reasonable,ASPECT_ATTR_FOR,b-ZJ0gQp0fcnIDiZv0m9--Gg
b-Dd1w7xR7Xs3bthwusgy33Q,HAS_REVIEW,r-wtgbwFMUiqIL3IMOXClw6g
b-xYpAg60oZVbOtSYgrOKBgQ,HAS_MENU,Mango_Lassi
u-CFbaJyiMo65VmRnbb0ZmmA,RATE,b-y4z0iQZWN4R2Fk8SiPQU5A
b-xYpAg60oZVbOtSYgrOKBgQ,HAS_ASPECT,Service
Bad,MENU_ATTR_FOR,b-LwXo16VrGPhhOWc_Wj7ifw
b-3wJ4kJsJhayyfJ30HsS04g,HAS_MENU,Papad
u-0zBMuFDES0U2NiCXLu5N8g,VISIT,b-De8Z9rLZOmf-icp3gDxCZA
b-h-psPOmlY0mCOflb3S3rdQ,HAS_ASPECT,Food
b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_REVIEW,r-liE3ezgJzHI9VtLnxzR8rw
Rasam,IS,Good
u-z5rKiahky3y969M0TUex9Q,VISIT,b-35KvoWbA3kEsdckaWqG3OA
u-2XrLB9n3qkEQjbXpcu7GSQ,WRITE_REVIEW,r-bZntkVIh4u90nj1qWBVLRQ
b-c4qE3ygdEQUD9dZjganavA,HAS_ASPECT,Staff
b-TTCZkfxt0GW8YUzdVe0PrA,HAS_CATEGORY,Vegetarian
u-FflbpnSuF3POJG_lPdxLlg,VISIT,b-p-J9iJgeHmPGk2jFAM0WnA
u-LxaLVlBzyY2JgIJZTvz1dg,VISIT,b-S4qUsi44l5D9BbUCkhwQEA
Service,IS,Poor
b-P4zWgzYzy03D9LeDTpKuDg,HAS_MENU,Dosa
Tender,MENU_ATTR_FOR,b-hubbaEcYPYEZu5Ziz6i0lw
u-U5YQX_vMl_xQy8EQDqlNQQ,VISIT,b-UAXz2KC1aXpxzV-MLdXbmQ
u-Fantoh6E7ScHhZjY6Nzq_A,RATE,b-y4z0iQZWN4R2Fk8SiPQU5A
b-jb0-JZMt-6Khsh-VwsDtLQ,HAS_MENU,Mango_Lassi
b-jb0-JZMt-6Khsh-VwsDtLQ,HAS_REVIEW,r-eYLeCPV8gheq90RVc8IOgg
b-Eu-M3y8a5bIxIRXlCj9yHA,HAS_ASPECT,Customer_Service
Food,IS,Ready
u-gNHDBmjOuTJEhBq07rJQrQ,WRITE_REVIEW,r-yYZkF_bMIFm2GwsDUamTsA
u-YLyFQ9VVBoqqPIiUeDvVZw,ORDER,Curry_Dish
u-XI1Fu6Azbd8rjOiISQd8CQ,RATE,b-LwXo16VrGPhhOWc_Wj7ifw
Horrible,MENU_ATTR_FOR,b-P4h8kgy_48oE9vCHJc4BCQ
b-SxuD7iY8QO88PNbSdNmNKg,HAS_MENU,Madras_Coffee
b-BxkVct02QHybp54ATZgkUQ,HAS_ASPECT,Staff
u-qUL3CdRRF1vedNvaq06rIA,RATE,b-kG0N5urz2lkPEBDPjqFR3w
u-fi38ETFUNBBndrkKqLqUtA,RATE,b-gA4bnK91phT5FTzG4ki3Dw
u-9xSqmkaWS8WWq30J8uEJ-w,WRITE_REVIEW,r-8pqN36s8OFX5e-AFKrpUJg
Garlic_Naan,IS,Delicious
b-UAXz2KC1aXpxzV-MLdXbmQ,HAS_REVIEW,r-7bueioTT2PJl0OzAQMFRvw
u-yiZGdSHvIFY0tetpl2ZxPQ,WRITE_REVIEW,r-UfFdcZMVRBUgLz8CzyaomA
b-Q8uwArm4h8bhsqxw84Gd8w,HAS_REVIEW,r-aW5GzJckqGjAi3D-BFBq9g
Delicious,ASPECT_ATTR_FOR,b-k9PfKE7KfztoMpOSx25UpA
u-2U9yYe623iFuWICTIgDMQw,RATE,b-eRZuxjnaMviiVyvhejwTBQ
u-5I4_OEvrdTRhrk6ipGVQEw,VISIT,b-oVuZtlCFg_zF090Nhtp0Ow
u-ZKgw-JJ8ZLKzDe5N1sNccw,WRITE_REVIEW,r-6jjBMYVhG2tKHEWLwr8W6Q
u-q5OhW8ne_hteHo6xLHNUPg,VISIT,b-CvOxwAhmwwy3sQRKYVAjGg
u-9QEoZRnONsQpWa61M0T3NA,VISIT,b-xA6L2w_TlbxHubb1xeBE8w
u-FkHx-2cM33pviW0ehCI6FA,VISIT,b-ICUCAzUZFiWkYs7iCtNCQg
b-Eu-M3y8a5bIxIRXlCj9yHA,HAS_REVIEW,r-2UWD_yV7r93DBizQfi7x9w
b-XvuUYiJYAAiNC4AmdbBZ8g,HAS_REVIEW,r-xs5mBrGqzuyoD4fSsZ23Rg
u-FyEFe1GiL_nBzX1AMaep9A,ORDER,Masala_Tea
u-7w22HFcZ1TFOdwjUqcIMRw,RECOMMEND,b-xSuR0FK8cHzBLXowCV3Pyw
u--nxh-PAw8TcDR2CwPOIdwA,RATE,b-GC9Re0tKAnecMww3DB638g
u-mar71JV6SINBPw52j0nnMA,RATE,b-gXLiBVCHIqoPEw2CaP3QmQ
u-ugLzELm2bWV_7fvDKjBaZw,WRITE_REVIEW,r-QgnqUjOMoMgpkcEI7X4rEA
b-rYziPPEILDXJ_F5uKR--YQ,IS,Great
u-PLIBoFMlQjM-FKqMCHnwgw,RATE,b-qcqDjeirxvdgW5kQVkEwSA
b-CB99Ifh4OnBTnuNdRjj_fQ,HAS_MENU,Soma_Grill
u-gc4WUy07eaQYPGOly1t-Ww,RATE,b-ICUCAzUZFiWkYs7iCtNCQg
u-o68A_3bAJTge-ioGXHdxKA,ORDER,Chutney
Rice,IS,Superb
u-UHV0B24i_IVOKyXcRe9IeA,WRITE_REVIEW,r-nwpVXiiXiCbTO3Vlxf2kQg
Bland,MENU_ATTR_FOR,b-ICUCAzUZFiWkYs7iCtNCQg
Slow,ASPECT_ATTR_FOR,b-ICUCAzUZFiWkYs7iCtNCQg
b-UAXz2KC1aXpxzV-MLdXbmQ,HAS_REVIEW,r-YO_HEj1RO9h7e86Lvjkkyg
u-83MxvjpOYHJ7ocGwYYi7qA,ORDER,Dinner
Good,MENU_ATTR_FOR,b-vZu3xxlMQSqFngDgdFLfXg
Delicious,ASPECT_ATTR_FOR,b-Ksk5cLav4OtbUtpRGp5b4g
u-YFHrehv9nlluLMmn7eUUqw,RATE,b-oX6y1Jm1jYLoWifmIrtaSQ
Tender,MENU_ATTR_FOR,b-oX6y1Jm1jYLoWifmIrtaSQ
Tasty,ASPECT_ATTR_FOR,b-jb0-JZMt-6Khsh-VwsDtLQ
b-P4h8kgy_48oE9vCHJc4BCQ,HAS_REVIEW,r-WbioxcmGrmK0BlZx7oX5tw
b-8grTRpmD9JYRPWayoLxg0w,HAS_MENU,Naan
b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_REVIEW,r-reqMIQCMxp45A4Bf7SsgAw
u-ePYBtacoCeNeB64njHUDxw,WRITE_REVIEW,r-vRfM1Y7avSkxB5ZL368saQ
u-0__aXuQg8UpSvtDw6DijcQ,VISIT,b-sUGlSS0AF2xPYFEjvKJbSA
u-z2YVGKKcup6mjQmDQ6arEg,ORDER,Naan
b-XvuUYiJYAAiNC4AmdbBZ8g,HAS_MENU,Sauce
Attentive,ASPECT_ATTR_FOR,b-MgsOZpYSntKSCzNROiWgYQ
Chicken,IS,Amazing
u-tDSNWC5WKwx52yq6X26kfw,RATE,b-7xA6iSP0Ndn08tpBFQtUKA
Reasonable,ASPECT_ATTR_FOR,b-kfwpXBsMQLqhUvscWB6b9g
u-c_IWI6W5oqZztQ2X3h_fPw,RATE,b-h-psPOmlY0mCOflb3S3rdQ
b-BxkVct02QHybp54ATZgkUQ,HAS_REVIEW,r-Cwz5HzYv0toBPqKq1fEIFg
Horrible,ASPECT_ATTR_FOR,b-ICUCAzUZFiWkYs7iCtNCQg
u-kxC0TTMfm3RdgWPKotEupg,WRITE_REVIEW,r-lB5TNrKaD0EA_ZrRhR80fQ
u--XgkT-ADQUzdjfYL8H3Rwg,ORDER,Lamb_Josh
b-De8Z9rLZOmf-icp3gDxCZA,HAS_REVIEW,r-kYe3lLKlS6bmxgFoWYYVgA
Great,ASPECT_ATTR_FOR,b-oX6y1Jm1jYLoWifmIrtaSQ
b-YywWkWX235ZurTWSLqNPog,HAS_REVIEW,r-OoP1OekvV0lhF9QgTn9bIA
u-iBN9hKKylQYM4G9PmLIMGA,WRITE_REVIEW,r-v09ovWOfJd1g7O52K4QmBw
u-HGaeDTDlhls41lLlSoRh3g,VISIT,b-DxbdfvNYPCyiLJDDPJK3Tg
Food,IS,Good
u-0sxVTB8K-4KROlGhQBN7kw,RATE,b-xYpAg60oZVbOtSYgrOKBgQ
u-G-pUjm-FGYGibs_syjTHWQ,ORDER,Dinner
Chicken,IS,Delicious
Awesome,ASPECT_ATTR_FOR,b-LwXo16VrGPhhOWc_Wj7ifw
Idli,IS,Soft
u-mEPHGeCd9l1-jaYRmM_PgA,RATE,b-DKqhCd3Vwl3CEo8vUHhLYg
b-Pzs43Fkub-6A9hA1zqpF_w,HAS_ASPECT,Food
b-DKqhCd3Vwl3CEo8vUHhLYg,HAS_MENU,Beef_Vindaloo
b-3wJ4kJsJhayyfJ30HsS04g,HAS_REVIEW,r-kUsehQ04Qgx9dJeM2wTxxw
u-iBN9hKKylQYM4G9PmLIMGA,RATE,b-ZJ0gQp0fcnIDiZv0m9--Gg
u-VLfK0P4aHwCThv3h7GeQQw,WRITE_REVIEW,r-VuWM8LbnIBF0Rh03wm2gBQ
u-Gb3wDY_ly8ksqM0U7hh3Gw,ORDER,Naan_Bread
b-35KvoWbA3kEsdckaWqG3OA,HAS_REVIEW,r-vduvTuGbP5XDNexMyTifWA
b-Pzs43Fkub-6A9hA1zqpF_w,HAS_CATEGORY,Pakistani
b-Dd1w7xR7Xs3bthwusgy33Q,HAS_ASPECT,Taste
u-XIkPvspzRAoEp7McGt9rdw,WRITE_REVIEW,r-o79z5MQbwoAGp0w8ALZJxA
u-wFc88erJk878O6SqJ1veAg,VISIT,b-AZKhBlrI5vgTBm3j9WwnbA
u-wffnrXJoLppOlvNOZKU70A,VISIT,b-f7RXwcus_-EOsR0q5ctVjw
b-h-psPOmlY0mCOflb3S3rdQ,HAS_REVIEW,r-XBnXMqXqM13HrkjhARJhOA
u-3kWltF8RUs05nzFp4nEwEg,WRITE_REVIEW,r-XZoTPWjVhXeuSuyy8q9TGg
u-y7WNmvpRSojz8EI1q6rqZA,WRITE_REVIEW,r-E-7tn485JHN4_kDCWO2UlQ
b-scM6rLQqoz5dEIgwz_JFsg,HAS_MENU,Tikka_Masala
u-QkBPfOh19KCnOn4C14DBGQ,VISIT,b-ICUCAzUZFiWkYs7iCtNCQg
u-nS39P_prIufEPuX60ixEkw,WRITE_REVIEW,r-sK2-jx5RLi_JMx9NRbCQGg
u-teZyKxRh4ZmKtb1iYV1m0g,HAS_FRIEND,u-GMZRlfTGiX33Uhyzi8YVEw
Food,IS,Great
u-0czYYW5BlH9twE_2mv2aCQ,WRITE_REVIEW,r-oJRkPDwTvt44BdNnP4OGFg
b-jb0-JZMt-6Khsh-VwsDtLQ,HAS_REVIEW,r-p3-JBbZbL6dJNjmoHfmdKg
Service,IS,Good
u-z01bY3_w1GieMWOvQHznRA,RATE,b-_PKXarw3GjlbwbXhjdpUMA
u-brY1l1obnPNk-oyDcScyMw,ORDER,Lassis
u-kXufUeBbx4fZDXYRrG0uoA,VISIT,b-xYpAg60oZVbOtSYgrOKBgQ
b-5eDg_Y2N6aU_k7tIxoFXTg,HAS_REVIEW,r-EmIYTJjbcuBADjrxyicTUQ
u-wZ_Re2rPJ6vQAOkV2TqLmA,RATE,b-5eDg_Y2N6aU_k7tIxoFXTg
b-S4qUsi44l5D9BbUCkhwQEA,HAS_ASPECT,Food
b-k9PfKE7KfztoMpOSx25UpA,HAS_MENU,Naan
u-N_WB5usUFVBYI_8g7nnh-g,WRITE_REVIEW,r-ubt_K4BWuQrMMRc1bedxkg
u-YvQEbFJx93Bt-Pai7SRn9A,WRITE_REVIEW,r-EYNfOHs1c1Jr0LULjy5Wtg
u-8T_rJh6lkj-cpkYQIrnf6A,RATE,b-7xA6iSP0Ndn08tpBFQtUKA
b-qcqDjeirxvdgW5kQVkEwSA,LOCATED_IN,Toronto-Canada
u-ZHRyYn4SbTsR7On7P-08bA,RATE,b-GC9Re0tKAnecMww3DB638g
u-HtThhuFnksLAAZdiC__1Qw,VISIT,b-UAXz2KC1aXpxzV-MLdXbmQ
Stale,MENU_ATTR_FOR,b-Eu-M3y8a5bIxIRXlCj9yHA
b-j4ytRzcmtU4cLMBrhY7jMA,IS,Accommodative
u-ZEA8vnoxMa016XzoDMyEDQ,RATE,b-h-psPOmlY0mCOflb3S3rdQ
Authentic,MENU_ATTR_FOR,b-oX6y1Jm1jYLoWifmIrtaSQ
b-XvuUYiJYAAiNC4AmdbBZ8g,HAS_MENU,Tandoori_Grill
u-jMHlwDq5b2zqhV5TyyFKPA,VISIT,b-f7RXwcus_-EOsR0q5ctVjw
Chilli_Chicken,IS,Good
b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_REVIEW,r-a9LdjvTYZkDdbwV4ZKp9CA
Excellent,ASPECT_ATTR_FOR,b-j9YFHVQqxM_qKHIc4nck-A
u-Lcd7pKlCr00Kz6a8zheWew,RATE,b-Pzs43Fkub-6A9hA1zqpF_w
Food,IS,Delicious
b-mOsKIonnlHllP9gfbXdgnQ,HAS_MENU,Chana_Masala
u-YvzPq836pb0tuQUi6vyRFQ,VISIT,b-LwXo16VrGPhhOWc_Wj7ifw
u-R53BsPalQFweaQWQGZUjSw,WRITE_REVIEW,r-O-va7pkt0ub8ZMFXHW6J1w
b-XNL6PRXaQxyDO2yeBdy11w,HAS_REVIEW,r-zwRYpiZiPkSuac74R_cynA
Food,IS,Bad
u-dwXyze2QlXfgNMS-CfkT_w,VISIT,b-oX6y1Jm1jYLoWifmIrtaSQ
Well,MENU_ATTR_FOR,b-gw0ZS5b5RP3Lzr1BoCbALg
u-w_INs1TnmWewZ_MIp2fUow,WRITE_REVIEW,r-zXaGburMAC-jAZcyUcro3A
b-8PZGCtgG5MZKvz9i3B9gCA,HAS_REVIEW,r-ZsgXMCeR41Y3QwTK6Pkxyg
u-M9B4BJkv5ciSgkaUfif2Dw,RATE,b-eRZuxjnaMviiVyvhejwTBQ
b-BxkVct02QHybp54ATZgkUQ,HAS_MENU,Vindaloo_Chicken
Food,IS,Amazing
b-f7RXwcus_-EOsR0q5ctVjw,HAS_REVIEW,r-ZcwrbQLup9qKbnqB83IaFA
b-qcqDjeirxvdgW5kQVkEwSA,HAS_MENU,Soup
u-jqp5BEMzEUIWTCt6pezS2Q,WRITE_REVIEW,r-3LRBRN8UEv2w_nduxzlq2Q
u-cEILRyaig7X4Yy1EKG1Tlg,WRITE_REVIEW,r-638hQO5bBkdkbgxKOjaqYw
b-xYpAg60oZVbOtSYgrOKBgQ,HAS_REVIEW,r-RSj2VcPWYTJ33joJ-9TPFw
b-TAnzFr9NixvCbvUdJMWL5Q,HAS_MENU,Biryani
u-koN3P_Emyd0wba8fHW3y5Q,RATE,b-TTCZkfxt0GW8YUzdVe0PrA
b-gA4bnK91phT5FTzG4ki3Dw,HAS_REVIEW,r-5XA8ABIlBs4PedbGiUp-ew
b-xA6L2w_TlbxHubb1xeBE8w,HAS_REVIEW,r-vW7jimPafRA8KnItJFSdGg
b-CvOxwAhmwwy3sQRKYVAjGg,HAS_REVIEW,r-_Duu2W4DoDPfSTtwH6HzzQ
u-_hJBdcaVc5QCvninKGpMUg,VISIT,b-Pzs43Fkub-6A9hA1zqpF_w
b-MgsOZpYSntKSCzNROiWgYQ,HAS_MENU,Samosa
u-s8IEQn1yff8TYAkiJ0Y-nQ,VISIT,b-j9YFHVQqxM_qKHIc4nck-A
u-JT9Ux1QWW2x1tDyFNaSp1A,ORDER,Naan
b-ICUCAzUZFiWkYs7iCtNCQg,HAS_MENU,Salad
Amazing,MENU_ATTR_FOR,b-k9PfKE7KfztoMpOSx25UpA
Fresh,ASPECT_ATTR_FOR,b-xYpAg60oZVbOtSYgrOKBgQ
Service,IS,Great
u-229XN3DEk9bLKc7RP9juSQ,RATE,b-geMa0_CtMOctkUhf_JXK9Q
Good,ASPECT_ATTR_FOR,b-kfwpXBsMQLqhUvscWB6b9g
Good,ASPECT_ATTR_FOR,b-vCx6uieEF0W0mKFK4sT3Yg
b-sUGlSS0AF2xPYFEjvKJbSA,IS,Well
