,subject,predicate,object
16660,Friendly,ASPECT_ATTR_FOR,b-f7RXwcus_-EOsR0q5ctVjw
16661,b-j4ytRzcmtU4cLMBrhY7jMA,HAS_MENU,Dinner
16662,b-AZKhBlrI5vgTBm3j9WwnbA,HAS_MENU,Chilli_Fish
16663,u-a2SODwNOs5INpZu4Z0E05A,RATE,b-gw0ZS5b5RP3Lzr1BoCbALg
16664,Pakora,WERE,Crispy
16665,u-GUMxq_mi_XFoUMlYDoQYeg,WRITE_REVIEW,r-YI61IO2zA7yGxw37gVeiXg
16666,b-SxuD7iY8QO88PNbSdNmNKg,HAS_MENU,Chole_Batura
16667,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_REVIEW,r-ZXvSUYa0iFFdALax7OTW2A
16668,Terrific,ASPECT_ATTR_FOR,b-DKqhCd3Vwl3CEo8vUHhLYg
16669,Service,IS,Slow
16670,u-GrUCjpll6wTlcEhjuabHTA,EAT_AT,b-Pzs43Fkub-6A9hA1zqpF_w
16671,u-zvXz3SSLD7EtaKYPAzhEPg,WRITE_REVIEW,r-Bhv_heq2a_F8TG_sv2YzgA
16672,u-mnJvynzRIYptrjyKtEBiTA,RATE,b-DKqhCd3Vwl3CEo8vUHhLYg
16673,u-4QgXlvkNrDGmn0HeekD7xw,RATE,b-vCx6uieEF0W0mKFK4sT3Yg
16674,b-bO_JX-lDo5D5JGZhK5Ly3A,IS,Nice
16675,u-TB-Uy3latKcMg2TrVhcvJQ,RATE,b-TTCZkfxt0GW8YUzdVe0PrA
16676,b-DKqhCd3Vwl3CEo8vUHhLYg,HAS_ASPECT,Price
16677,u-GfydT32-B76VTabMnOcCQg,VISIT,b-0Hy2VE9tqTo4QbovMz3xrQ
16678,b-8PZGCtgG5MZKvz9i3B9gCA,HAS_MENU,Spinach
16679,u-_hJBdcaVc5QCvninKGpMUg,RATE,b-Pzs43Fkub-6A9hA1zqpF_w
16680,u-Qu8Y4COgSfkPe_mVfkrH-Q,HAS,u-Qu8Y4COgSfkPe_mVfkrH-Q
16681,u-mwXPzgan9b9sqTyoFtQWuA,RATE,b-j4ytRzcmtU4cLMBrhY7jMA
16682,Vada_Sambar,IS,Authentic
16683,u-1LPtxqJsWLfCWHBOJvym8Q,RATE,b-Pzs43Fkub-6A9hA1zqpF_w
16684,u-S9F2a5MxI22ke1LX7JnIxg,VISIT,b-7vgWonwfqRt9pxR1c00Ulw
16685,u-_lg4iHMQyscfknijiErV0Q,RATE,b-xYpAg60oZVbOtSYgrOKBgQ
16686,u-JrXC_MDp38BWwLn2SFdNsA,VISIT,b-UaMq3DUhtkoZ5WCEQm2T9g
16687,u-BRPK2iFVfDhogu89HMjjsQ,VISIT,b-oX6y1Jm1jYLoWifmIrtaSQ
16688,b-GC9Re0tKAnecMww3DB638g,HAS_REVIEW,r-X83ImidV3lOMdxYHobVBNw
16689,u-hsZj-KbijKR8r4ytP-iiRQ,RATE,b-ZNdV9ytExuxPTXSN8i2xhw
16690,b-_PKXarw3GjlbwbXhjdpUMA,HAS_MENU,Schezwan_Chicken
16691,b-y4z0iQZWN4R2Fk8SiPQU5A,HAS_REVIEW,r-oFn6-AVkMAYUzcVjL3X6eA
16692,u-PuXpIJzTBQejeBZh9hwynQ,VISIT,b-5VOqWjRXUPc7b1A_NSI9mQ
16693,u-ECWLF8z5SmzQxRdkizQ2KQ,RATE,b-gA4bnK91phT5FTzG4ki3Dw
16694,b-Ksk5cLav4OtbUtpRGp5b4g,HAS_MENU,Goat
16695,u-4lvyTtfuz4a1NuOwH22jMA,WRITE_REVIEW,r-ZsgXMCeR41Y3QwTK6Pkxyg
16696,Price,IS,Reasonable
16697,b-MgsOZpYSntKSCzNROiWgYQ,HAS_MENU,Butter_Naan
16698,b-oX6y1Jm1jYLoWifmIrtaSQ,HAS_MENU,Mango_Papri_Chat
16699,u-q9ZzaDBNs72WXqKkwELBNA,WRITE_REVIEW,r-h4BSceVNRcxY9qsmD7vq2Q
16700,Chai,IS,Good
16701,u-WH10W8Wr_AaGY0LJOOREZg,VISIT,b-35KvoWbA3kEsdckaWqG3OA
16702,b-UaMq3DUhtkoZ5WCEQm2T9g,IS,Nice
16703,u-AJ7OBUjRaf0FZDq7VFxNTA,VISIT,b-MMOEaEcq-bsg_RYWHSC4_g
16704,u-jnB_saJqNfOmVoCWquhAzg,RATE,b-xSuR0FK8cHzBLXowCV3Pyw
16705,u-uf95iifC_TQ-DtDs0rtiXg,VISIT,b-y4z0iQZWN4R2Fk8SiPQU5A
16706,u-bv-_iTWHzZucGb8mS_OAJg,HAS_FRIEND,u-BpNAPKjA2O6rTu5APobHjQ
16707,Fresh,ASPECT_ATTR_FOR,b-qhKNZTtTT6GLnPzQny-v9Q
16708,b-ICUCAzUZFiWkYs7iCtNCQg,HAS_ASPECT,Food
16709,u-ce5beSlZZziUJUii1-c9FA,WRITE_REVIEW,r-OVhbly7MKLUyuGcd-PJYmw
16710,u-YuLT6PyL0wHDrArOPxdd7Q,RATE,b-COfzp0tze_F8N13zn40zzg
16711,u-VbB0_jzI_DrnPY4DuROVkQ,VISIT,b-or1daHtUK9b7sqFRPf62GQ
16712,u-bPu0FHiJ9FH5d5PLXo7VEw,RATE,b-BxkVct02QHybp54ATZgkUQ
16713,u-OIVAJo8QryN-bJOjOvxkVQ,ORDER,Rice
16714,b-j4ytRzcmtU4cLMBrhY7jMA,HAS_MENU,Dosa
16715,u-J1P3QAMh5y74kRCsaZmMgw,VISIT,b-0cf-w9PK5gLkBkitL3bdqw
16716,u-J8XphkYwcVOmU7Es-QWTBQ,ORDER,Chicken_Dish
16717,u-MOfbW27o3-EC-s0jJV7fvQ,RATE,b-ZJ0gQp0fcnIDiZv0m9--Gg
16718,b-0zTLMQOZhiCp9GFtegiFsw,HAS_ASPECT,Food
16719,b-gXLiBVCHIqoPEw2CaP3QmQ,TOUT,b-gXLiBVCHIqoPEw2CaP3QmQ
16720,b-GC9Re0tKAnecMww3DB638g,HAS_REVIEW,r-PJxVahMKE_9PJV8LiztPmw
16721,u-R6vb0FtmClhfwajs_AuusQ,WRITE_REVIEW,r-94FiBNsHU-_Q6kQ7m-_NFg
16722,b-xA6L2w_TlbxHubb1xeBE8w,HAS_REVIEW,r-qJndmvSoQk-4i1yrhsRHgg
16723,u-Q7bLDV2RGKF5KJyasrwZ6A,RATE,b-hubbaEcYPYEZu5Ziz6i0lw
16724,u-kVA4yCga39k7oAB5bAy8Qg,VISIT,b-qcqDjeirxvdgW5kQVkEwSA
16725,Food,IS,Great
16726,u-MW2pHbbkYIh92CWfpi6q1g,RATE,b-TTCZkfxt0GW8YUzdVe0PrA
16727,Great,MENU_ATTR_FOR,b-CB99Ifh4OnBTnuNdRjj_fQ
16728,b-ICUCAzUZFiWkYs7iCtNCQg,HAS_REVIEW,r-OyfUpyAlGHWJU3eGV4TbYg
16729,Food,IS,Nice
16730,b-f7RXwcus_-EOsR0q5ctVjw,HAS_REVIEW,r-HEB-Br3WkDOCQRTYBzyr6g
16731,u-nlx3WP91zot51pyl6qHMYA,RATE,b-DKqhCd3Vwl3CEo8vUHhLYg
16732,Terrible,MENU_ATTR_FOR,b-pU7L-CQpl4syUwfEGAlb8g
16733,u-Ul42L3SbNiV0aB1eocj-KQ,HAS_FRIEND,u-cZm0eIvfPC7zxOwbKsjMLg
16734,Delicious,MENU_ATTR_FOR,b-ZJ0gQp0fcnIDiZv0m9--Gg
16735,u-AkOIflJMu_FxZui8fy9K6Q,RATE,b-Q8uwArm4h8bhsqxw84Gd8w
16736,u-pgelwc3JnmhtRy8keSeQQA,RATE,b-7vgWonwfqRt9pxR1c00Ulw
16737,u-LJ4wHFavaek4WJw68jeKWQ,CHECK,b-sUGlSS0AF2xPYFEjvKJbSA
16738,u-pn_flI3EBNugBEYFp9okxQ,VISIT,b-0Hy2VE9tqTo4QbovMz3xrQ
16739,Naan,IS,Delicious
16740,Garlic_Naan,IS,Good
16741,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_REVIEW,r-liE3ezgJzHI9VtLnxzR8rw
16742,b-scM6rLQqoz5dEIgwz_JFsg,HAS_REVIEW,r-ZGS_iYEFizqepncSNXMs1w
16743,u-u5aA2ljFrhY8IXERY9-E1Q,VISIT,b-TAnzFr9NixvCbvUdJMWL5Q
16744,u-33dAdbBE0ysDWz9zs7XVsQ,VISIT,b-oX6y1Jm1jYLoWifmIrtaSQ
16745,b-eRZuxjnaMviiVyvhejwTBQ,HAS_ASPECT,Food
16746,u-Xx54oACO47neDL0vVMNNIQ,WRITE_REVIEW,r-_56w1KxuKOjC03kJnu8aQA
16747,b-BxkVct02QHybp54ATZgkUQ,HAS_ASPECT,Service
16748,Fantastic,ASPECT_ATTR_FOR,b-0cf-w9PK5gLkBkitL3bdqw
16749,Lamb_Biryani,IS,Excellent
16750,b-COfzp0tze_F8N13zn40zzg,HAS_ASPECT,Service
16751,u-QmK4mY5lmzpDrnSHzZDEpQ,ORDER,Choolah_Bowl
16752,b-De8Z9rLZOmf-icp3gDxCZA,HAS_REVIEW,r-84sSjH9tY-52jQlgNCVDMg
16753,u-a2VgXrdJUflY9HOTPb62XA,VISIT,b-_PKXarw3GjlbwbXhjdpUMA
16754,Hot,ASPECT_ATTR_FOR,b-RE4qn28MEiDrM1PbdYVgxA
16755,Sweet,MENU_ATTR_FOR,b-LwXo16VrGPhhOWc_Wj7ifw
16756,u-ayVBf253VsV2Es7tD-rgug,VISIT,b-kG0N5urz2lkPEBDPjqFR3w
16757,u-5PMj6vXe8ba-sSHW_oN0Pw,VISIT,b-gXLiBVCHIqoPEw2CaP3QmQ
16758,b-eRZuxjnaMviiVyvhejwTBQ,HAS_MENU,Lamb_Shank
16759,u-fNdUIJqUzyMKPQFxCrvGPw,RATE,b-Q8uwArm4h8bhsqxw84Gd8w
16760,Food,IS,Good
16761,Food,IS,Fantastic
16762,u-L7I8V10Ea7Fs3cb_cQRzGw,RATE,b-BoiAZQB9AHRvazM055GFOw
16763,u-Bz9Hddcu2Hu0h3FArKfDGQ,VISIT,b-oVuZtlCFg_zF090Nhtp0Ow
16764,u-BDYdz5MJZfhLW6wqagc5bA,WRITE_REVIEW,r-BrXyvkXUR6zZSZ9aj9Du9w
16765,u-it_6uhEFSk1ewW2VQqC5_w,RATE,b-xYpAg60oZVbOtSYgrOKBgQ
16766,Naan,IS,Crisp
16767,u-7zhra0LL0dLYo4Nmo5Q_xA,WRITE_REVIEW,r-BDrfouVlM92BSrT_7GVfMA
16768,b-qMw7mFHAjgG7qN82aXmeZg,IS,Good
16769,Food,IS,Tasty
16770,Sambhar,IS,Well
16771,u-IsfzrB80aWj9jYVaG3WrzA,VISIT,b-DJuQgsoj-qmU0i5iTAa4aA
16772,u-QIC7YDWVIciSHX9FQHa-3g,WRITE_REVIEW,r-Y1lP3ArscVAqEgciNADibw
16773,u-hxPWBfqBDTTxymwEH1MBvA,VISIT,b-oVuZtlCFg_zF090Nhtp0Ow
16774,u-9e1GgNMDlUaCcefdg9C2BA,VISIT,b-DKqhCd3Vwl3CEo8vUHhLYg
16775,u-rhE4gLtM0gb3XLwSz6HPCw,WRITE_REVIEW,r-uCP6RQbM3-G9WYxN-r27Yw
16776,u-hFfD_E7xWYtCNhMPfBYJJQ,WRITE_REVIEW,r-EZy4-9zblyx9PiLHab86XA
16777,b-vCx6uieEF0W0mKFK4sT3Yg,HAS_REVIEW,r-lsCOtNnFvYUlKZPQcI1y3Q
16778,Amazing,ASPECT_ATTR_FOR,b-sUGlSS0AF2xPYFEjvKJbSA
16779,b-DxbdfvNYPCyiLJDDPJK3Tg,HAS_ASPECT,Food
16780,u-zKtC616Xfm9w9LOmHSbo8Q,WRITE_REVIEW,r-y0XJa94w6yGJ4KSU4kEwzA
16781,b-COfzp0tze_F8N13zn40zzg,HAS_ASPECT,Food
16782,Friendly,ASPECT_ATTR_FOR,b-COfzp0tze_F8N13zn40zzg
16783,Food,WARMED,Food
16784,u-AQcMZ74yQNx7JsdD-QQ0SA,RATE,b-hubbaEcYPYEZu5Ziz6i0lw
16785,u-wc-ImFPko38VG4Rx9DEqNQ,RATE,b-7xA6iSP0Ndn08tpBFQtUKA
16786,Tasty,ASPECT_ATTR_FOR,b-DxbdfvNYPCyiLJDDPJK3Tg
16787,Goat_Meat,MEANS,Goat_Meat
16788,b-V_jIfMz9Z7a5mthleRq0_w,HAS_REVIEW,r-tO_9RvKt6VI8C04u-hsUIQ
16789,u-i9pkuli9RATcmByFAB2-oA,RATE,b-8PZGCtgG5MZKvz9i3B9gCA
16790,u-o68A_3bAJTge-ioGXHdxKA,RATE,b-ZJ0gQp0fcnIDiZv0m9--Gg
16791,Shahi_Paneer,IS,Hard
16792,b-oX6y1Jm1jYLoWifmIrtaSQ,HAS_REVIEW,r-jMTuBS75fbV0BnktmdJf3g
16793,u-ire43sdJVaGqysuRkyVOHQ,VISIT,b-DeI4KqEeWy0cTdh7Wy5_RA
16794,u-O2r153ZyHduw7FFO5Hu0qA,RATE,b-MgsOZpYSntKSCzNROiWgYQ
16795,b-vZu3xxlMQSqFngDgdFLfXg,HAS_MENU,Samosa
16796,b-5VOqWjRXUPc7b1A_NSI9mQ,HAS_REVIEW,r-pX2pe-fnU1i2xzs1ght1mA
16797,Food,IS,Delicious
16798,b-scM6rLQqoz5dEIgwz_JFsg,HAS_REVIEW,r-fivNPkcu3wEqNmw6A_xw2w
16799,u-JadFtuFHdE9E9DZiFnKCjA,ORDER,Rice
16800,b-ICUCAzUZFiWkYs7iCtNCQg,HAS_ASPECT,Food
16801,Nice,ASPECT_ATTR_FOR,b--p-CuUMzN0HQz9OCQ8SZOA
16802,Free,MENU_ATTR_FOR,b-h3_Jnt_y0VPaC5x5kCWY0w
16803,b-xSuR0FK8cHzBLXowCV3Pyw,HAS_ASPECT,Food
16804,u-Ug0ujy9-jd0Oc2nk3KIotA,WRITE_REVIEW,r-EEnWzuRzzKxEv6qxXYLTjA
16805,Good,MENU_ATTR_FOR,b-P4h8kgy_48oE9vCHJc4BCQ
16806,b-scM6rLQqoz5dEIgwz_JFsg,HAS_MENU,Chicken_Tikka_Masala
16807,u-QGOtNZfasBwWCuawKjypYA,VISIT,b-p-J9iJgeHmPGk2jFAM0WnA
16808,b-TTCZkfxt0GW8YUzdVe0PrA,HAS_REVIEW,r-BHTZJvx7aizimP1LzL93SQ
16809,u-7g1m7Nr8X82WCvAipAhbyg,WRITE_REVIEW,r-X8B06giJt2_irP1xL9nEFQ
16810,b-jb0-JZMt-6Khsh-VwsDtLQ,HAS_REVIEW,r-mL2qrGv2mdI9no4_n040fQ
16811,u-YixeCHCwKdBTDCMnD_LlRQ,RATE,b-0zTLMQOZhiCp9GFtegiFsw
16812,b-scM6rLQqoz5dEIgwz_JFsg,HAS_REVIEW,r-Lb5_wq4uwtyD930tb7G08A
16813,u-AJ7OBUjRaf0FZDq7VFxNTA,WRITE_REVIEW,r-yGS_Z4lCPWV6laG-xLTjaQ
16814,u-PkZcF10Nqrqo74w9NWQFEg,ORDER,Chicken_Sag
16815,u-g6Ssb2qrZTqKo6KWGrmAHA,WRITE_REVIEW,r-Wsh2m3ZQEH1_nTgFdcIKeQ
16816,u-2wKnvn68eWybc7ID-7UQmQ,RATE,b-oVuZtlCFg_zF090Nhtp0Ow
16817,Horrible,ASPECT_ATTR_FOR,b-DeI4KqEeWy0cTdh7Wy5_RA
16818,b-h-psPOmlY0mCOflb3S3rdQ,HAS_MENU,Lamb_Vindaloo
16819,Chandler-United_States,LOCATED_IN,United_States
16820,u-PiSCokd01nxdMkVQRV_R7A,HAS_FRIEND,u-Z7FpUY7YW5LFP1OYws358A
16821,Great,ASPECT_ATTR_FOR,b-5eDg_Y2N6aU_k7tIxoFXTg
16822,b-oVuZtlCFg_zF090Nhtp0Ow,HAS_ASPECT,Decor
16823,u-16g6cHzPAO_GcoDaLkhArw,VISIT,b-GC9Re0tKAnecMww3DB638g
16824,u-YxnbFcpQTZ0FxsAjk1GoQA,VISIT,b-kG0N5urz2lkPEBDPjqFR3w
16825,Service,IS,Good
16826,u-Jra_ZcNalzq4vxbhAtowdQ,WRITE_REVIEW,r--0NaZg4wzQIpwPMtEC11gA
16827,u-YSF-1r2QeTCQgovcF-P8QA,RATE,b-V_jIfMz9Z7a5mthleRq0_w
16828,b-DJuQgsoj-qmU0i5iTAa4aA,HAS_MENU,Chicken_Tiki_Masala
16829,b-Q8uwArm4h8bhsqxw84Gd8w,HAS_MENU,Lamb
16830,b-ICUCAzUZFiWkYs7iCtNCQg,HAS_MENU,Tikka_Masala
16831,u-C6Qltey26Uyo_1wlISdFlg,RATE,b-y4z0iQZWN4R2Fk8SiPQU5A
16832,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Chutney
16833,u-IisWKW9bti1kkXNVYSEjrQ,RATE,b-S4qUsi44l5D9BbUCkhwQEA
16834,u-t4eXeNeZ_V7uAHwIzH0uwA,RATE,b-ZNdV9ytExuxPTXSN8i2xhw
16835,b-BoiAZQB9AHRvazM055GFOw,HAS_REVIEW,r-tdJAmANJ92_I7WJ8V7zWIA
16836,Sauce,ORDER,Pakora
16837,u-gyS1Ef3KamhVeyFhk4nqeQ,RATE,b-mOsKIonnlHllP9gfbXdgnQ
16838,u-DIL-EZK8_ibl_Q6gCi0krw,RATE,b-kfwpXBsMQLqhUvscWB6b9g
16839,u-dQm7mXUyHfKBmUj0aQMSnQ,RATE,b-oVuZtlCFg_zF090Nhtp0Ow
16840,u--DQisTwt2iGzKKfqy-NWHQ,RATE,b-3frFidAcPVYAFB2RxxkIdA
16841,b-sUGlSS0AF2xPYFEjvKJbSA,HAS_REVIEW,r-p89O0eddayI9P19xnL14Gw
16842,u-7m1SEMQ0hIIY7YcuuclEHA,WRITE_REVIEW,r-ReadUbs-W35D9oacTVXP9g
16843,u-rcUun0KBLWNWz05Q1StMAQ,WRITE_REVIEW,r-6_SV5FGvMt8PoBt95eijDQ
16844,u-ETk-jcQbgVCNMGLsRCYATg,VISIT,b-7vgWonwfqRt9pxR1c00Ulw
16845,b-V_jIfMz9Z7a5mthleRq0_w,HAS_ASPECT,Food
16846,u-Ug5HkPvMuvIMN8CSGPG30w,VISIT,b-5eDg_Y2N6aU_k7tIxoFXTg
16847,Sweet,MENU_ATTR_FOR,b-DJuQgsoj-qmU0i5iTAa4aA
16848,b-V_jIfMz9Z7a5mthleRq0_w,HAS_MENU,Chicken
16849,b-MMOEaEcq-bsg_RYWHSC4_g,HAS_MENU,Samosa
16850,b-BoiAZQB9AHRvazM055GFOw,HAS_MENU,Garlic_Naan
16851,Tikka_Masala,CAME_WITH,Rice
16852,u-49j4mN81moEbq3oyi_oB4g,VISIT,b-gw0ZS5b5RP3Lzr1BoCbALg
16853,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_ASPECT,Staff
16854,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_MENU,Lamb_Roganjosh
16855,b-OZwMMnRncrp7_uC-N3vV1Q,HAS_MENU,Butter_Chicken
16856,Delicious,MENU_ATTR_FOR,b-f7RXwcus_-EOsR0q5ctVjw
16857,u-0qEVktiRfmZAQY0d28KAyQ,VISIT,b-Pzs43Fkub-6A9hA1zqpF_w
16858,b-De8Z9rLZOmf-icp3gDxCZA,HAS_MENU,Masala_Dosa
16859,u-1uMFeMClPgrO-hRE9DaulA,RATE,b-oX6y1Jm1jYLoWifmIrtaSQ
16860,Scarborough-Canada,LOCATED_IN,Canada
16861,Great,ASPECT_ATTR_FOR,b-UAXz2KC1aXpxzV-MLdXbmQ
16862,Mango_Mousse,IS,Sweet
16863,u-k_8StZ7moHRRS1G0jWfHyg,VISIT,b-ICUCAzUZFiWkYs7iCtNCQg
16864,u-imWAzO9XKd0yLhVzCRrCTw,VISIT,b-DKqhCd3Vwl3CEo8vUHhLYg
16865,Dal,MIXED,Dessert
16866,b-p-J9iJgeHmPGk2jFAM0WnA,IS,Clean
16867,Tikka_Masala,IS,Great
16868,Excellent,ASPECT_ATTR_FOR,b-_X0M7EMx475KZSX9wAsmgg
16869,Chutney,IS,Fresh
16870,u-snldDecrM7DsiBY_vEmGnQ,RATE,b-gw0ZS5b5RP3Lzr1BoCbALg
16871,u-2XrLB9n3qkEQjbXpcu7GSQ,RATE,b-5VOqWjRXUPc7b1A_NSI9mQ
16872,u-wSEekDs2imb19AjK_m4flQ,RATE,b-COfzp0tze_F8N13zn40zzg
16873,b-BxkVct02QHybp54ATZgkUQ,GIVE,u-sMhvlIPGLUlRA7QsWlqBOg
16874,Great,ASPECT_ATTR_FOR,b-TTCZkfxt0GW8YUzdVe0PrA
16875,u-4e4uA6fe4SigZ_RZo0r4QQ,WRITE_REVIEW,r-R7GO-gSzN-YVT5r3nD4K7Q
16876,Slow,ASPECT_ATTR_FOR,b-geMa0_CtMOctkUhf_JXK9Q
16877,Great,ASPECT_ATTR_FOR,b-h-psPOmlY0mCOflb3S3rdQ
16878,u-1oG_2FkprbRlNxIdQB7HMw,RATE,b-sUGlSS0AF2xPYFEjvKJbSA
16879,u-GY76ebPi56ztlNcwYO70gg,WRITE_REVIEW,r-bvc2v9oIfyksdTIB2Kv8CA
16880,b--p-CuUMzN0HQz9OCQ8SZOA,HAS_REVIEW,r-H2iu7stQp4RhF4gkMh4kiw
16881,b-hubbaEcYPYEZu5Ziz6i0lw,HAS_CATEGORY,Indian
16882,Slow,ASPECT_ATTR_FOR,b-bO_JX-lDo5D5JGZhK5Ly3A
16883,Friendly,ASPECT_ATTR_FOR,b--p-CuUMzN0HQz9OCQ8SZOA
16884,u-npdzLLzPtB9FIUXlfpeUCQ,RATE,b-Eu-M3y8a5bIxIRXlCj9yHA
16885,b-vCx6uieEF0W0mKFK4sT3Yg,HAS_REVIEW,r-yYoarMrDzdabNztwavOSVw
16886,b-_PKXarw3GjlbwbXhjdpUMA,HAS_ASPECT,Food
16887,u-65UXy9qtuLUI93cK8VcDxg,RATE,b-_PKXarw3GjlbwbXhjdpUMA
16888,Mango_Lassi,IS,Refresh
16889,b-XvuUYiJYAAiNC4AmdbBZ8g,HAS_REVIEW,r-x3jdZ_9X8iQNizPXbSC7lg
16890,Rice,IS,Delicious
16891,Food,IS,Good
16892,u-SuD01Q2izoPoI8-Xdv98yA,RATE,b-oX6y1Jm1jYLoWifmIrtaSQ
16893,u-_uyl_vUs7HEhuif8yBmLyQ,WRITE_REVIEW,r-4_G8GoAtuY5jerLJeL8aAw
16894,Food,IS,Worth
16895,Rich,MENU_ATTR_FOR,b-mOsKIonnlHllP9gfbXdgnQ
16896,u-hJYxiQ3hTg5j3l0HwezI9w,WRITE_REVIEW,r-GxVmpWpEFmq1ziyX1Cao_Q
16897,b-qcqDjeirxvdgW5kQVkEwSA,HAS_MENU,Coffee
16898,u-wXNQa8Er2PoumGvUotdeRg,VISIT,b-ZNdV9ytExuxPTXSN8i2xhw
16899,u-SQm5TEeF_tP9QJKg1HAN6Q,WRITE_REVIEW,r-2Wm9_ytkF_56LfFbCqk0ZQ
16900,u-6n54T9Gr-wleIdzdN1QIxw,WRITE_REVIEW,r-2wn7m-3z3riaM5wqOPjIGA
16901,b-p-J9iJgeHmPGk2jFAM0WnA,IS,Great
16902,u-qtQOOYU5Ucyr0p3DnnS1LA,RATE,b-vCx6uieEF0W0mKFK4sT3Yg
16903,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Biryani
16904,u-w5vwXnekNjKLzDRj5ROK5g,RATE,b-XvuUYiJYAAiNC4AmdbBZ8g
16905,b-0zTLMQOZhiCp9GFtegiFsw,HAS_REVIEW,r-cz8GVORpCEAMpqi7_4-0rg
16906,b-gA4bnK91phT5FTzG4ki3Dw,HAS_REVIEW,r-YIZFqXaN1JHuRizYLrtfBQ
16907,u-xA1Ak4QJ_WE_8Nadpi8IhA,VISIT,b-7xA6iSP0Ndn08tpBFQtUKA
16908,Chicken_Biryani,IS,Good
16909,Service,IS,Good
16910,u-AI-cHKgAEdBDYFmV7AV29g,WRITE_REVIEW,r-Swt3PZMk0YrQOh5_8ilRxw
16911,Good,MENU_ATTR_FOR,b-xSuR0FK8cHzBLXowCV3Pyw
16912,Food_Quality,IS,Important
16913,Rice_Pudding,IS,Sweet
16914,u-gHyePV7DI2TGkSJJCOad4w,WRITE_REVIEW,r-iwS0GrjJJaE5UzFju3hBJw
16915,u-zxXQgpt0hHK3OWYPf97ykw,VISIT,b-gXLiBVCHIqoPEw2CaP3QmQ
16916,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_REVIEW,r-35InNpwbKuSU2_Fzr8p6gw
16917,b-ICUCAzUZFiWkYs7iCtNCQg,HAS_ASPECT,Service
16918,u-jJZBOcorV8TQIZam4EUKQA,RATE,b-BoiAZQB9AHRvazM055GFOw
16919,u-hNH9TBZmv0utuPOB6wjlPQ,VISIT,b-DxbdfvNYPCyiLJDDPJK3Tg
16920,Jeera_Rice,IS,Good
16921,b-3frFidAcPVYAFB2RxxkIdA,HAS_REVIEW,r-gnaoDYAHrCubgCkcnM4c2A
16922,b-idrN6XWKErG6nKDsEMNbOQ,HAS_CATEGORY,Indian
16923,b-h-psPOmlY0mCOflb3S3rdQ,HAS_REVIEW,r-WII-K9s22MkHjmYqB24gnA
16924,u-9TC7-M_iaH9Xg4c4CjhetA,ORDER,Rice
16925,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Dinner
16926,u-KHUBAdXo41QPUo2WCbaV3g,RATE,b-De8Z9rLZOmf-icp3gDxCZA
16927,Praise,MENU_ATTR_FOR,b-BxkVct02QHybp54ATZgkUQ
16928,u-60Y-uLBHsdliQACa4oBnxw,ORDER,Dosa
16929,u-Or61vB9q9CnY0r4dmeOYXw,WRITE_REVIEW,r-ff8iI_OgplSxhtvWG9pbAA
16930,Helpful,ASPECT_ATTR_FOR,b-oX6y1Jm1jYLoWifmIrtaSQ
16931,u-0qEVktiRfmZAQY0d28KAyQ,WRITE_REVIEW,r-u2z1YF7pfb4lbHqSFRIRkA
16932,b-5eDg_Y2N6aU_k7tIxoFXTg,HAS_ASPECT,Staff
16933,b-ICUCAzUZFiWkYs7iCtNCQg,HAS_REVIEW,r-R-VmOVmjWuIuL_c8rEnwtA
16934,b-eRZuxjnaMviiVyvhejwTBQ,HAS_MENU,Chicken_Seekh_Wrap
16935,Food,PARDON,Lack
16936,b-qcqDjeirxvdgW5kQVkEwSA,HAS_REVIEW,r-pPGnCc95z26k_AbRfzTGbA
16937,u-T1F_rFrOHmJwCxVYzH1Bmg,WRITE_REVIEW,r-pDShi3VB_N40TXnfHvQBJg
16938,Amazing,ASPECT_ATTR_FOR,b-y4z0iQZWN4R2Fk8SiPQU5A
16939,Rice,IS,Good
16940,u-Wijpg5rI__kbZlb6sXt9Bg,VISIT,b-7xA6iSP0Ndn08tpBFQtUKA
16941,u-Vlssq9KlNYZEr1YxL6VFFw,ORDER,Dosa
16942,Tasty,MENU_ATTR_FOR,b-eRZuxjnaMviiVyvhejwTBQ
16943,u-w8L1-tCpv0mxFaHO8Z4TDA,WRITE_REVIEW,r-obm0NMVT-BN9fTIwXSBS_w
16944,b-gA4bnK91phT5FTzG4ki3Dw,HAS_MENU,Lamb_Kebab
16945,u-IvlKVT9SWsbFH1lhaIX1SQ,WRITE_REVIEW,r-rX8hR3v3anND3p5sF1gZHQ
16946,u-0N0Dvd3OQ3uOf7icQA-mkw,WRITE_REVIEW,r-cIMlKdyKS3BoHI2ZEqCjCg
16947,u-lQeZwk1RkY0HYJifEVBxFA,VISIT,b-idrN6XWKErG6nKDsEMNbOQ
16948,Staff,IS,Rude
16949,b-DKqhCd3Vwl3CEo8vUHhLYg,HAS_REVIEW,r-sKgvMpYVQmxqlmGVaTlNLQ
