sub_ent,subject,relation,obj_ent,object
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Chutney,Chutney
Mediocre,Mediocre,MENU_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Chutney,Chutney,IS,Mediocre,Mediocre
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Dosa,Dosa
Hard,Hard,MENU_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Dosa,Dosa,IS,Hard,Hard
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Dosa,Dosa
Saurabh,u-3ERGd_VUoH9_hsWmGudLYw,ORDER,Dosa,Dosa
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAVE,Recommendation,Recommendation
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Food,Food
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Masala Dosa,Masala_Dosa
L,u-wDrCkEsru6mMJAgrWaibqw,ORDER,Masala Dosa,Masala_Dosa
,u-wDrCkEsru6mMJAgrWaibqw,RECOMMEND,,b-bO_JX-lDo5D5JGZhK5Ly3A
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Service,Service
Good,Good,ASPECT_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Service,Service,IS,Good,Good
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Dessert,Dessert
Good,Good,MENU_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Dessert,Dessert,IS,Good,Good
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Vadas,Vadas
Soft,Soft,MENU_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Vadas,Vadas,IS,Soft,Soft
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Service,Service
Respectful,Respectful,ASPECT_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Service,Service,IS,Respectful,Respectful
,b-bO_JX-lDo5D5JGZhK5Ly3A,INTRODUCED,,Chinese
,u-uv5F82-AVlSr8-BFswTUWQ,ENJOYED,,b-bO_JX-lDo5D5JGZhK5Ly3A
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Service,Service
Slow,Slow,ASPECT_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Service,Service,IS,Slow,Slow
,u-_DaFdmq0gtXf1spn1qC_1Q,LIKED,,Food
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Food,Food
Good,Good,ASPECT_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Food,Food,IS,Good,Good
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Food,Food
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Service,Service
Amazing,Amazing,ASPECT_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Food,Food,IS,Amazing,Amazing
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Food,Food
Good,Good,ASPECT_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Food,Food,IS,Good,Good
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Service,Service
Slow,Slow,ASPECT_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Service,Service,IS,Slow,Slow
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Food,Food
Good,Good,ASPECT_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Food,Food,IS,Good,Good
Well,Well,ASPECT_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Food,Food,IS,Well,Well
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Dosa,Dosa
dave,u-RpGMBHy0330xT_VeO027gA,ORDER,Dosa,Dosa
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Staff,Staff
Friendly,Friendly,ASPECT_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Staff,Staff,IS,Friendly,Friendly
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Food,Food
Excellent,Excellent,ASPECT_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Food,Food,IS,Excellent,Excellent
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Price,Price
Reasonable,Reasonable,ASPECT_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Price,Price,IS,Reasonable,Reasonable
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,IS,Clean,Clean
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,IS,Good,Good
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Food,Food
Good,Good,ASPECT_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Food,Food,IS,Good,Good
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Service,Service
Friendly,Friendly,ASPECT_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Service,Service,IS,Friendly,Friendly
Well,Well,ASPECT_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Service,Service,GET,Well,Well
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Saag Paneer,Saag_Paneer
Great,Great,MENU_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Saag Paneer,Saag_Paneer,IS,Great,Great
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Naan,Naan
Good,Good,MENU_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Naan,Naan,IS,Good,Good
,u-6CbNnrhmjcGLX_FM1vvVrg,CAME_TO,,b-bO_JX-lDo5D5JGZhK5Ly3A
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Karahi Bhindi Masala,Karahi_Bhindi_Masala
Jon,u-n707vJzYdIJ99k9rBHQ-kA,ORDER,Karahi Bhindi Masala,Karahi_Bhindi_Masala
,u-n707vJzYdIJ99k9rBHQ-kA,COMPLIMENT,,Service
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Okra,Okra
Tender,Tender,MENU_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Okra,Okra,IS,Tender,Tender
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Naan,Naan
Ample,Ample,MENU_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Naan,Naan,IS,Ample,Ample
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Food,Food
Excellent,Excellent,ASPECT_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Food,Food,IS,Excellent,Excellent
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,IS,Worth,Worth
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Masala Tea,Masala_Tea
Ted,u-FyEFe1GiL_nBzX1AMaep9A,ORDER,Masala Tea,Masala_Tea
,u-FyEFe1GiL_nBzX1AMaep9A,LIVED_IN,,Chandler Ted
,u-FyEFe1GiL_nBzX1AMaep9A,LIVED_IN,,Tucson Ted
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Kheer,Kheer
Tasty,Tasty,MENU_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Kheer,Kheer,IS,Tasty,Tasty
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Service,Service
Prompt,Prompt,ASPECT_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Service,Service,IS,Prompt,Prompt
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Dosa,Dosa
Good,Good,MENU_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Dosa,Dosa,IS,Good,Good
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Food,Food
Great,Great,ASPECT_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Food,Food,IS,Great,Great
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Chutney,Chutney
Great,Great,MENU_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Chutney,Chutney,IS,Great,Great
,u-1vWqiWTLNCQNI9qx-GU4oA,SAY,,Days
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Dinner,Dinner
Girish,u-1vWqiWTLNCQNI9qx-GU4oA,ORDER,Dinner,Dinner
Good,Good,MENU_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Dinner,Dinner,IS,Good,Good
,u--Xh5WMLo90wZBwIh0MBouA,FELT_ABOUT,,Food
,u-HPuTCCL4W3u5sxrbBFu9YA,ENJOY,,Food
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Dosa,Dosa
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Service,Service
Well,Well,ASPECT_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Service,Service,IS,Well,Well
Slow,Slow,ASPECT_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Service,Service,IS,Slow,Slow
,u-hFDFHO70fyENIQ1bbtYufQ,SAW_ON,,Menu
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Uthappam,Uthappam
Delicious,Delicious,MENU_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Uthappam,Uthappam,IS,Delicious,Delicious
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,IS,Nice,Nice
,u-rSWQ_yu3xgVaTCyUdspBkA,ENJOYED,,b-bO_JX-lDo5D5JGZhK5Ly3A
,u-rSWQ_yu3xgVaTCyUdspBkA,ASKED,,Staff
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Pakoda,Pakoda
Ana,u-rSWQ_yu3xgVaTCyUdspBkA,ORDER,Pakoda,Pakoda
,u-rSWQ_yu3xgVaTCyUdspBkA,ASKED_FOR,,u-rSWQ_yu3xgVaTCyUdspBkA
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Price,Price
Good,Good,ASPECT_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Price,Price,IS,Good,Good
,u-79uQM6mAgJJcmYRtMO_u1Q,TRIED,,b-bO_JX-lDo5D5JGZhK5Ly3A
,u-79uQM6mAgJJcmYRtMO_u1Q,ORDERED,,Appetizer
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Dosa,Dosa
Jeff,u-79uQM6mAgJJcmYRtMO_u1Q,ORDER,Dosa,Dosa
Dosa,Dosa,INCLUDES,,Sabji
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Chutney,Chutney
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Service,Service
Lousy,Lousy,ASPECT_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Service,Service,IS,Lousy,Lousy
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Food,Food
Good,Good,ASPECT_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Food,Food,IS,Good,Good
Tasty,Tasty,MENU_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Chutney,Chutney,IS,Tasty,Tasty
Well,Well,MENU_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Chutney,Chutney,IS,Well,Well
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Sabji,Sabji
Sabji,Sabji,IS,Well,Well
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Samosa Chaat,Samosa_Chaat
Good,Good,MENU_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Samosa Chaat,Samosa_Chaat,IS,Good,Good
Bad,Bad,MENU_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Samosa Chaat,Samosa_Chaat,IS,Bad,Bad
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,IS,Clean,Clean
Slow,Slow,ASPECT_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Service,Service,IS,Slow,Slow
,u-J1pXZZ6z5FCaun5ic_rYig,VISIT,,b-bO_JX-lDo5D5JGZhK5Ly3A
Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Service,Service
Slow,Slow,ASPECT_ATTR_FOR,Cafe Krishna,b-bO_JX-lDo5D5JGZhK5Ly3A
Service,Service,IS,Slow,Slow
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_ASPECT,Staff,Staff
Friendly,Friendly,ASPECT_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Staff,Staff,IS,Friendly,Friendly
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Eggplant,Eggplant
Allison,u-_hmAJ6q9c7NVDnTgbrrTiA,ORDER,Eggplant,Eggplant
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Naan,Naan
Jordy,u-yxnhJ_lzLgZvczfNDk6L1w,ORDER,Naan,Naan
,u-yxnhJ_lzLgZvczfNDk6L1w,WALKED_INTO,,b-gw0ZS5b5RP3Lzr1BoCbALg
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Tikka Masala,Tikka_Masala
Tikka Masala,Tikka_Masala,CAME_WITH,,Rice
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,IS,Cool,Cool
Delicious,Delicious,MENU_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Tikka Masala,Tikka_Masala,IS,Delicious,Delicious
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Raita,Raita
Carrie,u-hTNcQmysQFU7J4QiKDXG8Q,ORDER,Raita,Raita
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_ASPECT,Food,Food
Good,Good,ASPECT_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Food,Food,IS,Good,Good
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Aloo,Aloo
Aloo,Aloo,SAAG,,Spinach
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Onion Pakora,Onion_Pakora
La-,u-ESExZK0M-fo2s6jLqjTntw,ORDER,Onion Pakora,Onion_Pakora
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_ASPECT,Decor,Decor
Elegant,Elegant,ASPECT_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Decor,Decor,IS,Elegant,Elegant
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,IS,Dead,Dead
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_ASPECT,Food,Food
Good,Good,ASPECT_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Food,Food,IS,Good,Good
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Basmati Rice,Basmati_Rice
Great,Great,MENU_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Basmati Rice,Basmati_Rice,IS,Great,Great
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Chutney,Chutney
Overbearing,Overbearing,MENU_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Chutney,Chutney,IS,Overbearing,Overbearing
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_ASPECT,Service,Service
Excellent,Excellent,ASPECT_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Service,Service,IS,Excellent,Excellent
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Tikka Masala,Tikka_Masala
Delicious,Delicious,MENU_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Tikka Masala,Tikka_Masala,IS,Delicious,Delicious
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Mango Lassi,Mango_Lassi
Fine,Fine,MENU_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Mango Lassi,Mango_Lassi,IS,Fine,Fine
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Rice Pudding,Rice_Pudding
Bonson,u-rVe49jbsZ1UbPy4v7_eXOg,ORDER,Rice Pudding,Rice_Pudding
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Dinner,Dinner
Exceptional,Exceptional,MENU_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Dinner,Dinner,IS,Exceptional,Exceptional
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Lamb Saag,Lamb_Saag
Excellent,Excellent,MENU_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Lamb Saag,Lamb_Saag,IS,Excellent,Excellent
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Lamb Meat,Lamb_Meat
Tender,Tender,MENU_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Lamb Meat,Lamb_Meat,IS,Tender,Tender
,u-a2SODwNOs5INpZu4Z0E05A,ENJOY,,Food
,u-Iv-dbHr2ZTsb8mrd_KDR8g,ORDERED,,b-gw0ZS5b5RP3Lzr1BoCbALg
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,IS,Outstanding,Outstanding
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Chicken,Chicken
Tender,Tender,MENU_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Chicken,Chicken,IS,Tender,Tender
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_ASPECT,Decor,Decor
Classy,Classy,ASPECT_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Decor,Decor,IS,Classy,Classy
,u-DpLsquKdybS2SJKSVvQYEw,EAT,,Indian
,u-49j4mN81moEbq3oyi_oB4g,ENJOY,,Food
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_ASPECT,Service,Service
,u-Nk8bmzPSx5_yQtNBygbYUA,LIVE_FROM,,Charkha
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Dinner,Dinner
Kristina,u-Nk8bmzPSx5_yQtNBygbYUA,ORDER,Dinner,Dinner
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_ASPECT,Staff,Staff
Friendly,Friendly,ASPECT_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Staff,Staff,IS,Friendly,Friendly
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Tomato Sauce,Tomato_Sauce
Amazing,Amazing,MENU_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Tomato Sauce,Tomato_Sauce,IS,Amazing,Amazing
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_ASPECT,Service,Service
Great,Great,ASPECT_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Service,Service,IS,Great,Great
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_ASPECT,Food,Food
Lukewarm,Lukewarm,ASPECT_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Food,Food,IS,Lukewarm,Lukewarm
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Basmati Rice,Basmati_Rice
Good,Good,MENU_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Basmati Rice,Basmati_Rice,IS,Good,Good
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Zucchini Pakora,Zucchini_Pakora
Cold,Cold,MENU_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Zucchini Pakora,Zucchini_Pakora,IS,Cold,Cold
,u-49j4mN81moEbq3oyi_oB4g,RETURNED_TO,,Charkha
,u-VTLRv5RsJR-NU17JP9vhZg,LIVE_FROM,,Charkha
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Vindaloo,Vindaloo
Excellent,Excellent,MENU_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Vindaloo,Vindaloo,IS,Excellent,Excellent
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Daal,Daal
Authentic,Authentic,MENU_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Daal,Daal,IS,Authentic,Authentic
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_ASPECT,Service,Service
Great,Great,ASPECT_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Service,Service,IS,Great,Great
Good,Good,ASPECT_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Service,Service,IS,Good,Good
,u-5QFws6LKMCZCgKHl8WR1jQ,HAS,,Food
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_ASPECT,Service,Service
Good,Good,ASPECT_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Service,Service,IS,Good,Good
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Tandori Chicken,Tandori_Chicken
Well,Well,MENU_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Tandori Chicken,Tandori_Chicken,IS,Well,Well
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Paneer,Paneer
Paneer,Paneer,IS,Well,Well
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_ASPECT,Food,Food
Food,Food,IS,Good,Good
,u-2AjHNuVqJDR5B-hTsbqpWA,MOVED_BESIDE,,u-2AjHNuVqJDR5B-hTsbqpWA
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_ASPECT,Service,Service
Horrible,Horrible,ASPECT_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Service,Service,IS,Horrible,Horrible
,u-_q-eT5lHrotEzJtsCsEuag,TRIED,,Charkha
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_ASPECT,Food,Food
Delicious,Delicious,ASPECT_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Food,Food,IS,Delicious,Delicious
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Pashwari Naan,Pashwari_Naan
Delicious,Delicious,MENU_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Pashwari Naan,Pashwari_Naan,IS,Delicious,Delicious
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_ASPECT,Service,Service
Excellent,Excellent,ASPECT_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Service,Service,IS,Excellent,Excellent
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Naan,Naan
Meera,u-3nY18D4-3yoYcNK9PyKHtA,ORDER,Naan,Naan
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Shahi Paneer,Shahi_Paneer
Meera,u-3nY18D4-3yoYcNK9PyKHtA,ORDER,Shahi Paneer,Shahi_Paneer
,u-3nY18D4-3yoYcNK9PyKHtA,WENT_ON,,Saturday
Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Chai,Chai
Meera,u-3nY18D4-3yoYcNK9PyKHtA,ORDER,Chai,Chai
Delicious,Delicious,MENU_ATTR_FOR,Charkha Exotic Indian Cuisine,b-gw0ZS5b5RP3Lzr1BoCbALg
Shahi Paneer,Shahi_Paneer,IS,Delicious,Delicious
